panel,model,horizon_months,auroc,ci_low,ci_high,sensitivity,specificity
A_timedep_auroc,ALSFRS slope,81,0.8599500935745478,0.7830285615171139,0.9264305139305139,,
A_timedep_auroc,ALSFRS slope,84,0.8442028985507246,0.7588530925440797,0.915263176714582,,
A_timedep_auroc,ALSFRS slope,87,0.8573913043478261,0.7571645021645022,0.9267799208114836,,
A_timedep_auroc,ALSFRS slope,90,0.8392857142857142,0.7285869565217392,0.9206813660477453,,
A_timedep_auroc,ALSFRS slope,93,0.8392857142857142,0.7285869565217392,0.9206813660477453,,
A_timedep_auroc,ALSFRS slope,96,0.8138528138528138,0.6688034188034188,0.9101616379310344,,
A_timedep_auroc,ALSFRS slope,99,0.8138528138528138,0.6688034188034188,0.9101616379310344,,
A_timedep_auroc,NfL + slope,6,0.7053966975432945,0.6134909998815773,0.7796582097464749,,
A_timedep_auroc,NfL + slope,9,0.7404817404817404,0.6730151446505585,0.8049886513725895,,
A_timedep_auroc,NfL + slope,12,0.7657366684991753,0.7018501498420102,0.820664177670892,,
A_timedep_auroc,NfL + slope,15,0.7444580443356453,0.6854755601056552,0.8085280173399507,,
A_timedep_auroc,NfL + slope,18,0.7122792379363094,0.6326722517307374,0.7853055886549526,,
A_timedep_auroc,NfL + slope,21,0.6992297437416678,0.6241348193164206,0.7651477435309576,,
A_timedep_auroc,NfL + slope,24,0.7140365448504983,0.6467355026788528,0.7840131826274055,,
A_timedep_auroc,NfL + slope,27,0.7168498168498169,0.6438210227272727,0.7947296734728779,,
A_timedep_auroc,NfL + slope,30,0.7485640720934839,0.6776677466253991,0.8143020239836772,,
A_timedep_auroc,NfL + slope,33,0.7904974489795918,0.7237350441331991,0.8508510302671793,,
A_timedep_auroc,NfL + slope,36,0.7827664399092971,0.7230943126022913,0.8480673957253047,,
A_timedep_auroc,NfL + slope,39,0.8065854290899662,0.7488400144733374,0.8631798018341423,,
A_timedep_auroc,NfL + slope,42,0.811075781664017,0.7490167662619419,0.8691209349593496,,
A_timedep_auroc,NfL + slope,45,0.8096911140389401,0.7478664537343689,0.8679212449526928,,
A_timedep_auroc,NfL + slope,48,0.8197115384615383,0.7552289643510133,0.8743987151951395,,
A_timedep_auroc,NfL + slope,51,0.8380952380952381,0.770083041958042,0.8863944724511494,,
A_timedep_auroc,NfL + slope,54,0.8456146657081237,0.7759095218156614,0.9008853356827639,,
