fs,clf,horizon,auc_mean,auc_std,auc_count,bal_mean,bal_std,bal_count,sens_mean,sens_std,sens_count,spec_mean,spec_std,spec_count,ppv_mean,ppv_std,ppv_count,npv_mean,npv_std,npv_count
ALSFRS slope,kNN,36,0.7119291569086651,0.060743367418034995,200,0.6771370023419203,0.06466798382061455,200,0.6821311475409836,0.06207813385583777,200,0.672142857142857,0.12406764375802802,200,0.9015780757769152,0.033489720344387096,200,0.3292036413711125,0.054328878851683506,200
ALSFRS slope,kNN,54,0.8052130681818181,0.06650954621014402,200,0.7763352272727272,0.058824409115067235,200,0.6995454545454546,0.060627185293596404,200,0.853125,0.13866143785037593,200,0.9765137392706688,0.02104121995356792,200,0.2591026594354937,0.037744006555917815,200
ALSFRS slope,kNN,75,0.7080072463768116,0.12280765511209987,200,0.7019565217391305,0.12017812641363429,200,0.8205797101449275,0.05150281704465879,200,0.5833333333333333,0.26471226860113983,200,0.9789478855831092,0.012746999731294084,200,0.12252773804936778,0.04898525818800584,200
NfL,AdaBoost,12,0.6495694752402069,0.04996907454311122,200,0.6106467110125646,0.05791166563324889,200,0.7378787878787878,0.09696351053815598,200,0.4834146341463415,0.1528119717792305,200,0.5415562916512084,0.05350114268782594,200,0.6894889483010688,0.09670439508838412,200
NfL,AdaBoost,24,0.6049313186813187,0.05411659117426632,200,0.5919093406593406,0.06789793677851726,200,0.6606927104309304,0.10187236703447114,191,0.531787584143605,0.18663542343309664,191,0.7833494505697415,0.05065952050917327,191,0.3787808803829221,0.08217422441649191,191
NfL,AdaBoost,36,0.6663256658595641,0.062479218948907955,200,0.5897578692493947,0.08685699337387315,200,0.6927966101694915,0.1313719900434764,184,0.5023291925465838,0.2600604468934503,184,0.8617052834909024,0.050005279271474995,184,0.267327443954763,0.08170191487948773,184
NfL,AdaBoost,54,0.6363076923076924,0.07933291815324084,200,0.5807836538461538,0.0863822236441414,200,0.6291292463881296,0.10528115686907882,197,0.5348984771573604,0.2153331302597559,197,0.9186584009354251,0.030315373059920457,197,0.15064615840114587,0.04659088095050243,197
NfL,AdaBoost,75,0.6405845771144278,0.1365202475020887,200,0.5865796019900498,0.15203797761962626,200,0.6064925373134329,0.06127780082723155,200,0.5666666666666667,0.30075282427025124,200,0.9692314369634798,0.020600626285218828,200,0.0606492207695591,0.0336548818127833,200
NfL,ExTrees,12,0.6913728750923873,0.04831309612874188,200,0.6477864005912787,0.04411686374373047,200,0.6660606060606061,0.04907513371518855,200,0.6295121951219512,0.03983335438918526,200,0.5913623846518583,0.043466805296542205,200,0.700794187044187,0.04379916189012008,200
NfL,ExTrees,24,0.6348855311355311,0.05625108630627556,200,0.6204464285714286,0.05616648086365357,200,0.57875,0.03275151531644266,200,0.662142857142857,0.08053500783710918,200,0.8092590819564504,0.0452896823109305,200,0.38829388422035477,0.046862227708536396,200
