group,time,surv,n_risk,strata,repeat_id,signature
Low,54,0.20632935107885367,25,group=Low,2,Plasma-5
High,55,0.008547008547008548,1,group=High,2,Plasma-5
Low,55,0.20632935107885367,25,group=Low,2,Plasma-5
High,56,0.008547008547008548,1,group=High,2,Plasma-5
Low,56,0.20632935107885367,25,group=Low,2,Plasma-5
High,57,0.008547008547008548,1,group=High,2,Plasma-5
Low,57,0.19807617703569952,24,group=Low,2,Plasma-5
High,58,0.008547008547008548,1,group=High,2,Plasma-5
Low,58,0.19807617703569952,24,group=Low,2,Plasma-5
High,59,0.008547008547008548,1,group=High,2,Plasma-5
Low,59,0.18982300299254537,23,group=Low,2,Plasma-5
High,60,0.008547008547008548,1,group=High,2,Plasma-5
Low,60,0.18156982894939122,22,group=Low,2,Plasma-5
High,61,0,0,group=High,2,Plasma-5
Low,61,0.17331665490623707,21,group=Low,2,Plasma-5
High,62,0,0,group=High,2,Plasma-5
Low,62,0.17331665490623707,21,group=Low,2,Plasma-5
High,63,0,0,group=High,2,Plasma-5
Low,63,0.16419472570064564,19,group=Low,2,Plasma-5
High,64,0,0,group=High,2,Plasma-5
Low,64,0.1550727964950542,17,group=Low,2,Plasma-5
High,65,0,0,group=High,2,Plasma-5
Low,65,0.1550727964950542,17,group=Low,2,Plasma-5
High,66,0,0,group=High,2,Plasma-5
Low,66,0.1550727964950542,15,group=Low,2,Plasma-5
High,67,0,0,group=High,2,Plasma-5
Low,67,0.1550727964950542,15,group=Low,2,Plasma-5
High,68,0,0,group=High,2,Plasma-5
Low,68,0.1550727964950542,15,group=Low,2,Plasma-5
High,69,0,0,group=High,2,Plasma-5
Low,69,0.1447346100620506,14,group=Low,2,Plasma-5
High,70,0,0,group=High,2,Plasma-5
Low,70,0.1447346100620506,14,group=Low,2,Plasma-5
High,71,0,0,group=High,2,Plasma-5
Low,71,0.134396423629047,13,group=Low,2,Plasma-5
High,72,0,0,group=High,2,Plasma-5
Low,72,0.134396423629047,13,group=Low,2,Plasma-5
High,73,0,0,group=High,2,Plasma-5
Low,73,0.134396423629047,12,group=Low,2,Plasma-5
High,74,0,0,group=High,2,Plasma-5
Low,74,0.134396423629047,11,group=Low,2,Plasma-5
High,75,0,0,group=High,2,Plasma-5
Low,75,0.134396423629047,9,group=Low,2,Plasma-5
High,76,0,0,group=High,2,Plasma-5
Low,76,0.134396423629047,9,group=Low,2,Plasma-5
High,77,0,0,group=High,2,Plasma-5
Low,77,0.134396423629047,9,group=Low,2,Plasma-5
High,78,0,0,group=High,2,Plasma-5
Low,78,0.134396423629047,9,group=Low,2,Plasma-5
High,79,0,0,group=High,2,Plasma-5
Low,79,0.134396423629047,8,group=Low,2,Plasma-5
High,80,0,0,group=High,2,Plasma-5
Low,80,0.134396423629047,8,group=Low,2,Plasma-5
High,81,0,0,group=High,2,Plasma-5
Low,81,0.11759687067541612,7,group=Low,2,Plasma-5
High,82,0,0,group=High,2,Plasma-5
Low,82,0.11759687067541612,7,group=Low,2,Plasma-5
High,83,0,0,group=High,2,Plasma-5
Low,83,0.10079731772178524,6,group=Low,2,Plasma-5
High,84,0,0,group=High,2,Plasma-5
Low,84,0.10079731772178524,6,group=Low,2,Plasma-5
High,85,0,0,group=High,2,Plasma-5
Low,85,0.10079731772178524,5,group=Low,2,Plasma-5
High,86,0,0,group=High,2,Plasma-5
Low,86,0.10079731772178524,5,group=Low,2,Plasma-5
High,87,0,0,group=High,2,Plasma-5
Low,87,0.10079731772178524,5,group=Low,2,Plasma-5
High,88,0,0,group=High,2,Plasma-5
Low,88,0.08063785417742819,4,group=Low,2,Plasma-5
High,89,0,0,group=High,2,Plasma-5
Low,89,0.08063785417742819,4,group=Low,2,Plasma-5
High,90,0,0,group=High,2,Plasma-5
Low,90,0.08063785417742819,4,group=Low,2,Plasma-5
High,91,0,0,group=High,2,Plasma-5
Low,91,0.08063785417742819,4,group=Low,2,Plasma-5
High,92,0,0,group=High,2,Plasma-5
Low,92,0.08063785417742819,4,group=Low,2,Plasma-5
High,93,0,0,group=High,2,Plasma-5
Low,93,0.08063785417742819,4,group=Low,2,Plasma-5
High,94,0,0,group=High,2,Plasma-5
Low,94,0.08063785417742819,4,group=Low,2,Plasma-5
High,95,0,0,group=High,2,Plasma-5
Low,95,0.08063785417742819,4,group=Low,2,Plasma-5
High,96,0,0,group=High,2,Plasma-5
Low,96,0.08063785417742819,3,group=Low,2,Plasma-5
High,97,0,0,group=High,2,Plasma-5
Low,97,0.08063785417742819,3,group=Low,2,Plasma-5
High,98,0,0,group=High,2,Plasma-5
Low,98,0.08063785417742819,3,group=Low,2,Plasma-5
High,99,0,0,group=High,2,Plasma-5
Low,99,0.08063785417742819,3,group=Low,2,Plasma-5
High,100,0,0,group=High,2,Plasma-5
